('949', '594bb0020fa09d6b8ea236cb9bbbc2b45ac40c9c', 0.394624477490906)
('1598', 'f716911c23cdeeaa49079d88fcfdc0dec135ee36', 0.3931467590073058)
('2080', '1cfe3c639a1cdc6f7d5b1dce0f4001a5c11948cf', 0.3916488980721308)
('949', '67e425c1eede74b5d92b07ef0918cc3cb6542007', 0.39149503566089616)
('949', '454b60938cc6d14c2b26c90723bb71d77632e0be', 0.38969030648604974)
('1982', '1344276be615532901a0c9249273685d2ae3c7eb', 0.3891159317018404)
('1905', '4b7093dc6a43d107c6032a5f4ae958802d277eda', 0.388872278416018)
('2340', 'f8b79a9b74684b6924a72be4bc4007cf9aaf0abf', 0.38728251560845617)
('1675', '881851976769d07d90918fa0719e5edfce4505b5', 0.3827156068993368)
('949', '881851976769d07d90918fa0719e5edfce4505b5', 0.38259703136037104)
('949', '0d8e5549e52a3a42e6737e3449be5b0bb13263cc', 0.38256022561420855)
('949', 'b84e7b946a45ec2e2b8f926e3a498df5eb69eea0', 0.38144793132352395)
('949', '3902b8c30a7af4e20c5d6ebd65e3f1798c4f5cae', 0.3799912896984117)
('949', 'd3feb9374069e6d930a38e5acf07018ff8ac7010', 0.37810591524980924)
('649', 'cf255418cf17d29bc2aea7246f0a1380181ffbc1', 0.37808230409572446)
('2327', '84465a0678fa29360dea313a93158729624846b9', 0.3747977387320034)
('949', '3a3f00e638540fb3ce923244dc2d514d7f862973', 0.3739371094756034)
('2169', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.3731748791094547)
('1645', 'ac3626617a7077e960a8862c3aff1b0f0dc1810e', 0.37312827465734927)
('1798', '0d8e5549e52a3a42e6737e3449be5b0bb13263cc', 0.37283783271683885)
('2310', '0604a3c71b790d804eda9956bae0851ed149620a', 0.3727694769663511)
('949', 'f45e3203f9c3ce72f1ea265680e0efd47b701f9b', 0.3727289218241984)
('949', 'd3266ca300a9585e84aedf93b5448e314cc2edc8', 0.37258019235029116)
('1689', 'ef4a419c7fa08eaa76446f60e078e7b709b6081d', 0.3720785624636093)
('2135', 'eb11985876c0ea95fe3961f4b3b8a92e0b041db0', 0.36846352685386224)
('2169', 'e1442826796f36496285da907a7a0946d525377a', 0.36692404054414596)
('1903', '9d73b9e155f2372ba18987b2fb7239988e00351e', 0.3668995589412936)
('1309', '454b60938cc6d14c2b26c90723bb71d77632e0be', 0.36446367175377536)
('2169', '51ba2f29c29019256579bf052f843bf409190f89', 0.3640020049203928)
('1372', '831122921b7f3aa81c49305d15504ad9a299be0d', 0.36332493233413754)
('2829', 'fdea0ce19381d096d9f6fee152813b789eb47bb6', 0.36230787955737687)
('949', '552e090d11c2cbce1633a06f17ab8a01c7c4bd9b', 0.3622682699633059)
('2260', '7ba03af547d18b02770b36d25f450c476a83ca6a', 0.3620579378440153)
('1481', '12d0f4f784bfecf608b3cc9bfc68aa06684c9f8f', 0.36167509534770903)
('1537', '4367c84d310a76323e9f20b54cb98b42f493beb7', 0.3615494234910915)
('1326', '11ff35f4aea5e95b670694411574d2438c5e8d54', 0.3609983566896753)
