('171', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.7671027459819799)
('259', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.7639152622605402)
('742', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.7631617811889192)
('280', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.7620203835319873)
('528', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.7609282860964653)
('742', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.7600280071569473)
('145', 'fbd99acac21b90d34d6aa949ff1f3624d8ee1acc', 0.7587033262704531)
('521', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.7576728037138734)
('521', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.7576609319989431)
('844', '4e76a4bd6e27472e487bc3136de3c3439e949302', 0.7572111855600155)
('521', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.7550759687079548)
('1076', '69170f58df0250e43066e4b56e038fced05f2268', 0.7545902412544573)
('695', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.7543591259886496)
('641', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.7511863362842082)
('528', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.7506651003276718)
('807', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.7496633280743902)
('274', '44f2b74862f67eeac2b16738475ff48cb4abdb6c', 0.7486369848288431)
('1059', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.7469820671416799)
('177', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7463325075677584)
('177', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7460557355095868)
('1075', 'f9ff05f16c83accfdbbc955562f098bccf70dffd', 0.7457011376562364)
('360', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.7445006949173851)
('521', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.7424991378290423)
('912', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.7387607466400313)
('801', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.7387345825771326)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.7382564744008382)
('177', '69170f58df0250e43066e4b56e038fced05f2268', 0.735384750302798)
('119', '10930b9e3d7a006f4c1c0eba42dfa6bfddc0a468', 0.733882753318118)
('896', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7335358173295903)
('896', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7332307811062304)
('119', 'ca350a79bd800889226f129bb7765fbedde4cc5f', 0.7328302737428815)
('521', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.7321862961633913)
('1075', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.7316029876362851)
('521', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.7300567580459454)
('535', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.7278627268173653)
('528', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.7221997737183313)
('896', '69170f58df0250e43066e4b56e038fced05f2268', 0.7210522309403772)
('709', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.71679040874131)
('788', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.7160378424678605)
('663', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7148449802552308)
('319', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.7143743145162189)
('280', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.7125549970119756)
('280', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.7125508723269977)
('958', '346d091d003a8b604ae2a462bc88bcabc4a57317', 0.7117034789551863)
('973', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.7107336870925424)
('553', 'cd87ef00cce4b58ff8080bd388dcc454a158f7fb', 0.7066994940215434)
('709', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.7066221434513327)
('1059', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7053884943066802)
('1059', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.7015828500265515)
('1059', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.7002059582693716)
('1032', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.6997731366748279)
('912', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.6983430139409545)
('115', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.697113837804212)
('360', 'b19eaeb89a90b980e550e98b38e89efdd5ead222', 0.6970291410322352)
('536', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.696634103706269)
('958', '05718a9f20cd8620dcef2bd05c02c0297bb1105b', 0.6956550737703254)
('521', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.6942768509137491)
('1046', '912f5db2c70eece6263e84e9f0c8316798d1955b', 0.6907009174550838)
('319', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.6904585584867531)
('828', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.6903338845020883)
('751', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.6901894119350993)
('912', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.6883954151152547)
('415', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.6877375965928557)
('912', '5aed505429694130a76115b7a4219b1a36f53346', 0.6871755382288434)
('5', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.6867792198163587)
('729', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.6865285854211283)
('729', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.6864281196847293)
('536', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.6861464694762175)
('958', '11467fca2a078a6868473b61a9608ba45e337795', 0.6851275929849614)
('912', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.6816958735708952)
('319', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.6813808591976936)
('1083', '863a61d6269e7756c8c797b6409bf28c75604a9a', 0.6790657919573774)
('5', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.678680665565141)
('973', '4d36c60738345b6123ccdc16cde4688d167d5f73', 0.6740643506315697)
('729', '69170f58df0250e43066e4b56e038fced05f2268', 0.6739039404639569)
('912', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.6727822287972921)
('319', '4d4d97419cab54f28e30e01c65e1d72d2512ca82', 0.6703330409159074)
('1075', 'b9c4884af137e92523b13c2799d1acca5f5d36a5', 0.66650335255156)
('788', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.665062227849061)
('788', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.6650335757626132)
('973', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.6647697582102814)
('528', 'ac773009f8fdcc84a9f44a3fb36f353ab78d682e', 0.6635235777785291)
('695', '8446e177030a53997cc7b1f83d5c3580f4dc4ee9', 0.6594275246318436)
('663', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.6574478353650033)
('11', '69170f58df0250e43066e4b56e038fced05f2268', 0.6553560825681529)
('912', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.6544889132618554)
('1032', '72b907a75f78b3adae78dba42f16b5c1677cdab9', 0.6542080434182239)
('727', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.6522284827095252)
('171', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.6520954815469012)
('507', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.652002717910236)
('727', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.6514303830682333)
('724', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.6508180262214792)
('1083', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.6501485936312514)
('208', 'da8bf59d5b342fa3f66b33cd2b81c08cd1608406', 0.6464696779313472)
('11', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.6464157344861181)
('626', 'b734a32ae6d0c284718b14078a2a555596188513', 0.6463117359001087)
('536', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.6451439655712815)
('639', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.6443143730743446)
('1032', '8cfb70e0809ba12fa5bc9f0131e4412064d8b1ac', 0.6440778406966258)
('507', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.6427450025353683)
('727', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.642051708361026)
('507', '5aed505429694130a76115b7a4219b1a36f53346', 0.6415132875185742)
('850', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.6395122718330788)
('695', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.6387024653247776)
('912', '3efd589cb169f8f5f70c856427a905cda8c7ee57', 0.6372793930629718)
('16', '5a34195201e695cb03be0de6b4333132a3fcd1ab', 0.6365982248645214)
('507', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.6364039039504551)
('947', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.6361554208277993)
('521', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.6350724566404583)
('319', 'fddaff1bd9b23022cb36b7fa4e8c273901e735f1', 0.6334546958876816)
('319', '2d31e6bf9199d4f324dd659143272e822e1c48c6', 0.6334173990574988)
('319', '780b4f715bf5f790fc249830d054d68eb153890a', 0.6333292224598532)
('319', '7cf9375ac6e8229600e5d918b230f56be038b314', 0.6332954242111432)
('11', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.6327132457767504)
('319', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.6317593239825071)
('319', '92c1a517263dd1567c9a505c4aca2afb78db7d3a', 0.6313155248652389)
('727', '69170f58df0250e43066e4b56e038fced05f2268', 0.6300235119197503)
('115', 'd3f52c6d3d683dd4865ae2ac83431982f3d2a5e9', 0.6296815969276152)
('115', '10114f4a9f648ca99c735793cdaee172f910d15c', 0.6296714812048615)
('319', '826a45c1052e846b1250813be74f0382f6a543e3', 0.6292441872132278)
('507', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.6281301333968438)
('788', '899592ce2a18f2787ae1adab4ff5347aba769845', 0.6275533794651972)
('284', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.6273094363530581)
('619', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.6272591690619536)
('296', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.6261914999900047)
('695', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.6261797611607911)
('115', '1d9e2cceddf722728a8614b8204674fc176f41ee', 0.6257123212672185)
