('134', 'bea0124a2d6e5728b6f7ed9c790edbecb4639dd2', 0.3210673705738421)
('546', 'adf8f700c2eba932d74c2d457adb2e392dc73aa6', 0.31903254859889224)
('171', '93e03cf2b5d09f35abe531f967b3048f36dbe935', 0.31717030867473867)
('532', '456543d411d9fa8678ab10e3ea8d01bb6f9e7f24', 0.3167008029663981)
('746', '1a8879ce37279612d3176b71307d2714c730a691', 0.3159355048785885)
('196', '7447257bbb9835e4727afa8afcf1d3e0bf1ec96e', 0.3150263032193156)
('202', '8125dbcc138a837f99847d5e73655b71e7abc4da', 0.3144522748860714)
('210', 'b17b8103e92c3f029f03dc50ebfa2e97cb8ef07d', 0.31311559486837653)
('194', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.31309541961840803)
('657', 'e02999f1ca777befb4f288e1572cd4b857fddf20', 0.31261009173308696)
('320', 'a4e1e95132ca08f1b131e08797f030dc183da8ab', 0.3105734206312743)
('639', '09ee94377932662fdcde82f448ec7c8aa6baba23', 0.308567616439203)
('1249', '556419ac198345afc9ecf3ac565965c83a84a362', 0.3080508915861847)
('728', 'dfa384302f55f5dccdfc309ba2e4477bb04e8b3e', 0.3023027251815497)
('134', '0415ea7814a1b8218b40b0520363e171d74aa065', 0.30226606225992364)
('346', 'b15bbeada002eacee093cc5ce09f4762be4b7fa7', 0.3010130952685516)
('121', '0a13d7ed10d87451ba99b46739e64e0473f65b9e', 0.30072561781715385)
('134', '5cc7e2f4e1221367d84e96cf07199090fbf660a0', 0.3006296555667836)
('135', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.2993439576888553)
('143', '19c5e7a474919868df2b96e3383c30169ea56fcc', 0.29915505642812923)
('134', '7592ef90fcf41af76ef4be103c7ec729b1c88186', 0.2990517713306353)
('1091', '57bcaf610e03f5e0edbacf15fbe0739b5eeed6fc', 0.29827867108635653)
('814', '1b73658b6ba27eee5fd0151b4633a94a192910c8', 0.29736125524490803)
('132', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.2916419509095714)
('230', 'cf5fc1092957a25465efe1369a45fc0ead1b5aed', 0.289742220957531)
('134', '781742eb703aa4f074c1fbc944e3020dc7cd51a5', 0.28787643460829426)
