('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('443', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.0)
('443', '4f61bb0b62419f485adb942c398df18e2c276448', 0.0)
('443', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.0)
('443', 'e53359054b25cccd3f40f6e9bb92e6c056ebbd35', 0.0)
('443', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.0)
('443', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.0)
('443', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.0)
('443', '7c9b706b651f1ce487aaf5e0dd9dc7b66d02b480', 0.0)
('443', '25d28081c7c9f06b37702740a216a9181e730745', 0.0)
('443', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.0)
('443', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.0)
('443', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.0)
('443', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.0)
('443', '2c2bac3825e8c4a19dec098507c811318e2c4db3', 0.0)
('443', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.0)
('443', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.0)
('443', '9465894146b7c6143b6da53b81a65cce179b47a2', 0.0)
('443', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.0)
('443', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.0)
('443', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.0)
('443', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.0)
('443', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.0)
('443', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.0)
('443', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.0)
