('239', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.3438875687968553)
('239', '8074576b98adb5618832c8b5b209d95589acd32d', 0.3437565912078765)
('239', 'c348398d45788564a63221179fc6c60f5af23583', 0.34370447894635203)
('239', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.34328518392590746)
('239', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.3425897628565999)
('1', '0667224647701d1b0562b3e872f43ef520a33599', 0.3415265132365729)
('128', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.3379461976311879)
('168', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.3366532979031206)
('239', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.3363197873910278)
('295', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.3290170423670133)
('168', 'd3751a99af4faef49632b6c88874b96682faa630', 0.3264147382773873)
('1', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.32632383611370697)
('168', '8074576b98adb5618832c8b5b209d95589acd32d', 0.32600575335893917)
('168', 'c348398d45788564a63221179fc6c60f5af23583', 0.3255298353857959)
('168', '30919083e84756b64c9520329369896987972855', 0.32533859745814875)
('168', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.32515399511184895)
('168', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.3250429424066207)
('168', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.32483475228278613)
('168', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.3245950885668829)
('239', '0667224647701d1b0562b3e872f43ef520a33599', 0.32178564750294614)
('168', '0667224647701d1b0562b3e872f43ef520a33599', 0.30927593342344517)
('239', '9348ef49b1f5e953dafe7e96d6663e3dd4fcbd72', 0.2993919916423595)
('239', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.2962706862215216)
('118', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.2962665378448186)
('295', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.2945034774595841)
('118', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.29365165875998117)
('239', 'f4ee668de2ef89ef43237a7e29fa38641c42af50', 0.27931421499369563)
('128', 'f462f467062e7df2344f661701567b67c4e4dfb4', 0.2580209134313131)
('2', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.2535455173587621)
('283', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.2499747455618011)
('178', '0667224647701d1b0562b3e872f43ef520a33599', 0.2456081748850896)
('283', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.24331751499176701)
('168', 'f462f467062e7df2344f661701567b67c4e4dfb4', 0.2380409262963746)
('178', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.233078854234935)
('178', '30919083e84756b64c9520329369896987972855', 0.23278964990925785)
('178', '8074576b98adb5618832c8b5b209d95589acd32d', 0.23269526841369478)
('178', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.2326014375542156)
('178', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.2325668793868671)
('178', 'c348398d45788564a63221179fc6c60f5af23583', 0.23208297151381682)
('178', 'd3751a99af4faef49632b6c88874b96682faa630', 0.2317940671716361)
('124', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.23164629127789566)
('178', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.23097888881329476)
('178', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.22956145907487835)
('178', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.22925641160503207)
('155', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.22699131576262585)
('128', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.22078979177156072)
('239', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.21468051966413132)
('239', '2d36cae9d7ddf66ec560d135b28c196899549010', 0.2117347266726994)
('239', 'c00f796ae8928a99090744874fb438ae158061b0', 0.21030041618381207)
('85', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.2065951346588113)
('222', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.2056491355730123)
('168', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.20524307793094038)
('178', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.2007492756875847)
('244', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.19850353702882403)
('183', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.19789434705352626)
('1', 'd3751a99af4faef49632b6c88874b96682faa630', 0.19561316305553716)
('2', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.19375520508079525)
('256', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.18906278556784067)
('124', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.18663162588404258)
('1', '8074576b98adb5618832c8b5b209d95589acd32d', 0.186411063471286)
('155', '8b6c07be42916aeef3aad39f11df49b18f3498ef', 0.1861371272378516)
('155', '031f2f1a166b0ba9dfb44c37dbb9c238b8dd0d08', 0.1850886077031434)
('155', '01918ec9e536698eeb83709a0f4de34f572f7473', 0.18425265864969434)
('299', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.18339602006592107)
('293', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.1797204411891884)
('2', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.17895429760078663)
('115', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.17799610130189994)
('293', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.17713993299952532)
('65', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.17675940187438216)
('65', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.17674157572985053)
('65', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.17671649468243547)
('65', '30919083e84756b64c9520329369896987972855', 0.1766796077673569)
('65', 'd3751a99af4faef49632b6c88874b96682faa630', 0.17667664307344802)
('65', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.17666823386443803)
('65', '8074576b98adb5618832c8b5b209d95589acd32d', 0.17666083764809162)
('65', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.17640082676380633)
('65', 'c348398d45788564a63221179fc6c60f5af23583', 0.17631223584371786)
('65', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.17570643630862526)
('65', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.17260483110755515)
('65', '0667224647701d1b0562b3e872f43ef520a33599', 0.16459428608208654)
('281', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.15999755923242112)
('304', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.15939624327520796)
('247', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.1564637146718189)
('168', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.15503696433404787)
('168', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.15361065496446435)
('65', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.15238734261987763)
('295', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.14603840141665383)
('54', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.1454627774206795)
('299', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.14517490138110956)
('244', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.14284474766276792)
('85', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.1412859821111457)
('247', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.14029957056274217)
('178', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.13855504592916776)
('222', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.13851181880954538)
('140', 'b0a69c4479b4cc098dd667f07b41668adfc60d68', 0.1369623775416195)
