issue_id,commit_id,method,score
MNG-790,ffb317c27d1da04bb46dda87971448c803f88bc9,default,1
MNG-797,6cf731be0efbee4b6e9c99b521086367db48583a,default,1
MNG-800,dac96a127668365b8fa0dfdfa8873c79b611da61,default,1
MNG-811,66869b1f65508bfddc57b1336fbdb52fca2d9c48,default,1
MNG-814,37d3fd3fdd9db0228d92a027b0ec7ac0125cd311,default,1
MNG-815,159b48c4e7503332913835675c78cc187d2319a6,default,1
MNG-816,9f8c7e326a9bcdc9c2873de967835c6b3bfaa665,default,1
MNG-817,ddfcc65d556214aa1150b118a4914a3989699a3e,default,1
MNG-818,d8875a4f7d3c4a56fb81a4668775a3becb3d5c75,default,1
MNG-820,d955fbef5c34f8d9caee874b370f49cda5b37d62,default,1
MNG-823,30d2a16b5a4c33537103e61295be06abc3808819,default,1
MNG-825,cf8820b905afadc9cdf08406b48968363bd63d76,default,1
MNG-832,e6dcc36ed5116689bc5367f748a43b598db31d56,default,1
MNG-833,82ac502e78e333c9a776096909aa9cc1b3565b57,default,1
MNG-835,c9b6d83c5730a857defe2960ff0aed878ded8c4a,default,1
MNG-836,2f2db94232a6b9fee340a56ab3e9c238fce62b6e,default,1
MNG-836,1129522bd7ae43907bd417abc1e50c5a2fa10517,default,1
MNG-836,6f72bd51df5331ea192410390921a19f83953a07,default,1
MNG-838,b926e6ff11f10635dc219d367ff5443991d0bddc,default,1
MNG-838,24ebd82f31a6159dc5a1889b731902ede35a45bb,default,1
MNG-844,575f0e8c1b9840e4699eefdcee76d128f29f6feb,default,1
MNG-847,285d97d93cef888a1cc3a3bfc0249931043c1eed,default,1
MNG-851,459737fa5f2d46b4c70fbc776d3e0bd799161d61,default,1
MNG-861,ed0b352c9a7937415ab069c43db54378a7f40927,default,1
MNG-869,035c54d8635150290486e2ad4325c24f43afd025,default,1
MNG-874,e9f55ae5f42f0d924ed2f7adb63bc7a5c074972d,default,1
MNG-885,da33bafe84722ab8516651c83de64129409b873d,default,1
MNG-891,eb89e520e43a6e2d8e058cef6c277358fcbd861f,default,1
MNG-895,598cd29727f85fb33ec35288ef2f29adb31a3957,default,1
MNG-895,41c129e593e6a304dd0abe51ec0e8c7eb5468414,default,1
MNG-895,66dddfc944763a6455f5e9b77c168a3148870a70,default,1
MNG-900,2ebee0b9c8c247a82561fe82fd8b3ed2fd1769bd,default,1
MNG-908,7009b9e79979fb1f2f7108024e0a0a4fa1913426,default,1
MNG-913,b94672b9e44c5de231aa85e254bfc2aeb66a4810,default,1
MNG-914,552ab6d2b3876d95bd7b33ea82ef1f0ff77079d8,default,1
MNG-915,30adf31194013953a0d1439c71fb5fcdaf747e15,default,1
MNG-915,36fbe930d755099437568a88c994237de295f33c,default,1
MNG-916,826f3e2a86262c620ecbb7380dd11320cf4f0711,default,1
MNG-929,83d67e6f8192d0c0da43d7d7095cf4e4f4796845,default,1
MNG-936,20116dbc4e2527b4a4dbdc58ae13430e3a43968a,default,1
MNG-950,cb259a768952a36617d30edff2171af07104576a,default,1
MNG-951,31a4d8ea412c16e2e25e7a17eac69a119f60c4f2,default,1
MNG-985,03b6c4431615b2405b956d5b12fff48abaed0d9f,default,1
