('401', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.0)
('301', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.0)
('301', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.0)
('301', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.0)
('193', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.0)
('126', '5696194875fbab3412b97a99d0e204dad0aa2823', 0.0)
('26', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('26', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('9', 'c8b48843c310d11b8b1ed0818c9eb6210e25d08f', 0.0)
('7', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('5', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('4', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
('3', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.0)
