('1028', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8514879066260875)
('11', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.8503798334339697)
('139', '69170f58df0250e43066e4b56e038fced05f2268', 0.8492177632051239)
('942', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.8491265997092005)
('440', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.84828969353304)
('709', '346d091d003a8b604ae2a462bc88bcabc4a57317', 0.8479944507944376)
('374', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8472079794919283)
('296', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.8469132388634347)
('259', '5aed505429694130a76115b7a4219b1a36f53346', 0.8464333894876762)
('896', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.8464172813048106)
('296', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.8461238102111833)
('970', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8448124724767724)
('896', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.8445348578500179)
('173', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8444889601266736)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8444888313636763)
('115', '698573b14a26ecedbc55e1594d3be9890e7de6a4', 0.8437901460725183)
('296', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.8437497596735608)
('202', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.8416154108319682)
('138', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.8414739942058681)
('2', 'df8fe4a9eb0f82a3b43f974fcfacc0c92e522f35', 0.8414510780987106)
('828', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.8413257751252375)
('724', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.8407562044919892)
('970', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 0.8404213589205175)
('202', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.8400582276319292)
('970', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.8398305583145143)
('1083', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.8383815760705479)
('896', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.8365943654010537)
('119', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.8360267801962459)
('296', '025d36604b3ec1b6d63a0c50f956b9ceac19bb5c', 0.8357075352812205)
('296', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.8350276773089654)
('1019', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.8337987408735725)
('360', 'b19eaeb89a90b980e550e98b38e89efdd5ead222', 0.8329805004510975)
('771', '69170f58df0250e43066e4b56e038fced05f2268', 0.8329194795743841)
('296', '82f8a9fc980dd428eb45c8f66789564632723897', 0.8325933773692208)
('331', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8301974110012498)
('455', 'fe38bc16d2c95c4367e23fe06ceb628f20906b8c', 0.8277347822098374)
('768', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8266105868239992)
('896', '84a9aeb46cd53c98844304aebfef94eb4842cf09', 0.8259224934147362)
('896', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.8252060822089776)
('483', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.8240159594510972)
('115', 'e608e1d6012e2cf5bfecaaf068a730633dac8a70', 0.8236254016379004)
('455', 'da8bf59d5b342fa3f66b33cd2b81c08cd1608406', 0.8231242876873868)
('231', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8213806263903694)
('115', '73627df082ff499af4ca1c482f79e304905007eb', 0.8209281468730415)
('115', 'c3e38e50e269adafdd38a48c63a1740cde304c67', 0.8207854860835772)
('1032', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8205189427799704)
('374', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.819191614658864)
('639', '56ed158814f07293114b08ce2111bb0bb39d907a', 0.8191098160514287)
('919', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.817671316227893)
('126', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.817321122558874)
('360', 'ac773009f8fdcc84a9f44a3fb36f353ab78d682e', 0.8165873258371418)
('942', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8162401648098634)
('1028', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8152436999523698)
('259', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.811106135585275)
('814', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8110852215258874)
('333', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.8108343637263666)
('455', '3f38ad6f4927e1d3bcf43faca8501df1e706405c', 0.8097226933595922)
('173', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8080909492296883)
('521', '38cc81b7dab29b51371096fb6763ca3a8432ffee', 0.8080637687767144)
('970', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8072589941432003)
('202', 'ecdd619da78831929d53c27c90f15e193a500998', 0.8042400769302315)
('119', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.8033174212611117)
('138', '1f16310b7d694551f094bed49fb0576effefab3c', 0.7977035248613481)
('1032', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7974419776742689)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.7960796109367344)
('284', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.7958924620897931)
('257', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7957439323189109)
('11', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.792450041130457)
('333', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7896484257616202)
('9', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.789108180715536)
('119', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7890878130761771)
('487', 'bef6a66eaf107f6451a352b7d9cb71919e442fda', 0.7890225863514063)
('455', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7887803319023928)
('814', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7880984663148417)
('115', '67436b2bc4a8e23faabb1555c0d34a2f53e060dc', 0.7846366516220962)
('850', 'cef431c8af7fd05b8f3ec49983eeead178be4e08', 0.7833148493276859)
('1019', '441d2d244929f6b28aacdf1c6c58a749cbe87c60', 0.7820229631893232)
('919', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7802027103865542)
('14', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.7791740966136605)
('257', 'ae05a3f39f77eff75c42a314cd2608f621b0a0c3', 0.7784951565497431)
('709', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.7783230324454958)
('641', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.7760770051416668)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.7747122556428072)
('890', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.7738496796925888)
('890', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.7738375020864652)
('890', 'f0bed4c762a015857c063bf83cee54c32f47b40d', 0.7707726422335796)
('896', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.7701952198466638)
('896', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.7699006975891788)
('296', 'c32a5d0882894b3b70d67cfff218925b16b4e0d4', 0.7693876501940972)
('896', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.7692383647227583)
('296', 'b2a5f482ee6269242a6ba13cd99283149f689c98', 0.7683378581973495)
('1037', 'ea81b1dc92cdfd0ddadd6db36c25ca4989257109', 0.7652936557932596)
('1037', '283956ee93473192052d30c3420a3ce9685cce28', 0.764892726368879)
('177', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.7643261318194986)
('1032', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7636262655994309)
('455', '75f380252eb964156714585fb7a00b617ddec679', 0.7635617308068494)
('641', '5aed505429694130a76115b7a4219b1a36f53346', 0.7629841537377727)
('841', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.7623535081960792)
('528', '31ed4efe3af5c4b1f8e0cb42ba9a68c21ec4d0e3', 0.7609224673909826)
('126', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.7601014064918562)
('202', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.7571922005678032)
('280', 'e0fa8e0f7203150eaa7c69ba27a79a7584b5abd5', 0.7563510731990417)
('756', 'a483f03711da3ab7542ab6a9fbe05d720496be0d', 0.7550774310652104)
('1083', '166a9a7f8f165a65659d881e1926c9b6ed91b80a', 0.7546252335083207)
('814', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7543647222948444)
('227', '6eafc73a6588948394ea6e37cc946656a1fa6025', 0.7516003038691953)
('919', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.7502288916343702)
('483', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.7497242583914087)
('768', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.7494714460415458)
('942', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.7482721246241751)
('1081', '69170f58df0250e43066e4b56e038fced05f2268', 0.7478947003931153)
('1001', 'c60b04424b0a357c69ced2e68a847e16ca87a002', 0.7475299790554455)
('751', '4f4b016da3b0b4c25f84897be47fb3e502c1c98b', 0.7458339753605836)
('618', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.7429622812143868)
